variable_id,value_aud_mil,fiscal_year,is_forward_estimate,source_line_item,notes
exp_super,1549,2022-23,TRUE,Total superannuation expenses,Forward Estimate. Calculated as 1456 concurrent plus 93 interest cost
exp_super,1674,2023-24,TRUE,Total superannuation expenses,Forward Estimate. Calculated as 1571 concurrent plus 103 interest cost
exp_depreciation,1718,2018-19,FALSE,Depreciation and amortisation,Actual
exp_depreciation,1751,2019-20,FALSE,Depreciation and amortisation,Actual
exp_depreciation,1854,2020-21,FALSE,Depreciation and amortisation,Budget Estimate
exp_depreciation,1859,2021-22,TRUE,Depreciation and amortisation,Forward Estimate
exp_depreciation,1858,2022-23,TRUE,Depreciation and amortisation,Forward Estimate
exp_depreciation,1835,2023-24,TRUE,Depreciation and amortisation,Forward Estimate
exp_interest,1012,2018-19,FALSE,Total interest expenses,Actual. Calculated as 153 leases plus 859 other
exp_interest,879,2019-20,FALSE,Total interest expenses,Actual. Calculated as 142 leases plus 737 other
exp_interest,809,2020-21,FALSE,Total interest expenses,Budget Estimate. Calculated as 145 leases plus 664 other
exp_interest,788,2021-22,TRUE,Total interest expenses,Forward Estimate. Calculated as 143 leases plus 645 other
exp_interest,783,2022-23,TRUE,Total interest expenses,Forward Estimate. Calculated as 138 leases plus 645 other
exp_interest,764,2023-24,TRUE,Total interest expenses,Forward Estimate. Calculated as 130 leases plus 634 other
exp_other_operating,8291,2018-19,FALSE,Other operating expenses,Actual. Calculated as 380 other employee plus 2528 services plus 5383 other gross operating
exp_other_operating,8382,2019-20,FALSE,Other operating expenses,Actual. Calculated as 401 other employee plus 2590 services plus 5391 other gross operating
exp_other_operating,8715,2020-21,FALSE,Other operating expenses,Budget Estimate. Calculated as 360 other employee plus 2632 services plus 5723 other gross operating
exp_other_operating,8304,2021-22,TRUE,Other operating expenses,Forward Estimate. Calculated as 348 other employee plus 2495 services plus 5461 other gross operating
exp_other_operating,8397,2022-23,TRUE,Other operating expenses,Forward Estimate. Calculated as 353 other employee plus 2504 services plus 5540 other gross operating
exp_other_operating,8553,2023-24,TRUE,Other operating expenses,Forward Estimate. Calculated as 357 other employee plus 2523 services plus 5673 other gross operating
exp_current_grants,3922,2018-19,FALSE,Current transfers,Actual
exp_current_grants,5003,2019-20,FALSE,Current transfers,Actual
exp_current_grants,6665,2020-21,FALSE,Current transfers,Budget Estimate
exp_current_grants,5443,2021-22,TRUE,Current transfers,Forward Estimate
exp_current_grants,5128,2022-23,TRUE,Current transfers,Forward Estimate
exp_current_grants,5033,2023-24,TRUE,Current transfers,Forward Estimate
exp_capital_grants,489,2018-19,FALSE,Capital transfers,Actual
exp_capital_grants,228,2019-20,FALSE,Capital transfers,Actual
exp_capital_grants,532,2020-21,FALSE,Capital transfers,Budget Estimate
exp_capital_grants,301,2021-22,TRUE,Capital transfers,Forward Estimate
exp_capital_grants,198,2022-23,TRUE,Capital transfers,Forward Estimate
exp_capital_grants,245,2023-24,TRUE,Capital transfers,Forward Estimate
exp_health,9013,2018-19,FALSE,Health,Actual
exp_health,9557,2019-20,FALSE,Health,Actual
exp_health,9928,2020-21,FALSE,Health,Budget Estimate
exp_health,9979,2021-22,TRUE,Health,Forward Estimate
exp_health,10187,2022-23,TRUE,Health,Forward Estimate
exp_health,10509,2023-24,TRUE,Health,Forward Estimate
exp_education,7601,2018-19,FALSE,Education,Actual
exp_education,6536,2019-20,FALSE,Education,Actual
exp_education,6828,2020-21,FALSE,Education,Budget Estimate
exp_education,6950,2021-22,TRUE,Education,Forward Estimate
exp_education,7102,2022-23,TRUE,Education,Forward Estimate
exp_education,7348,2023-24,TRUE,Education,Forward Estimate
exp_public_order,3585,2018-19,FALSE,Public order and safety,Actual
exp_public_order,3826,2019-20,FALSE,Public order and safety,Actual
exp_public_order,3776,2020-21,FALSE,Public order and safety,Budget Estimate
exp_public_order,3726,2021-22,TRUE,Public order and safety,Forward Estimate
exp_public_order,3742,2022-23,TRUE,Public order and safety,Forward Estimate
exp_public_order,3776,2023-24,
capex_pnfa,5188.4,2019-20,FALSE,TOTAL (Asset Investment Program),
capex_pnfa,7549.3,2020-21,FALSE,TOTAL (Asset Investment Program),
capex_pnfa,7457.7,2021-22,TRUE,TOTAL (Asset Investment Program),
capex_pnfa,6278.9,2022-23,TRUE,TOTAL (Asset Investment Program),
capex_pnfa,5767.6,2023-24,TRUE,TOTAL (Asset Investment Program),
